Экологоемкость по воздуху (общий объем загрязнений на душу населения), т/чел.;Экологоемкость по воде (общий объем сточных вод на душу населения), куб.м/чел.;Экологоемкость по отходам (общий объем отходов на душу населения), т/чел.;Эко-интенсивность по воде, т/ USD;Эко-интенсивность по отходам, т/ USD;ВРП на душу населения, USD/чел. ;Валовой региональный продукт (в сопоставимых ценах), в процентах к предыдущему году;Инвестиции в основной капитал (ОК), в % к ВРП;Инвестиции в ОК на душу населения, USD/чел.;Произ.пром.продук.на душу населения, USD/чел.;Индексы промышлен. производства (в % к предыдущему году);Инвестиции в ОК, направленные на охрану окружающей среды, в % к ВРП;Доля занятого насел. в экономике в общей числен.насел, %;Уровень безработицы, %;Доля населения с доходами ниже прожиточного мин, в %;Среднедушевые доходы населения, USD/чел.;Ожидаемая продолжительность жизни при рождении, лет
104.334529721225;123.59;0.00196666502777914;20252.9809861424;0.322268772155978;1765.034;94.1;17.2;1082.31223579637;2701.93437395415;97.1;0.139065143824027;36.4128029893308;22.0;44.0;103.61;64.89
93.0224952928352;167.35;0.00399187394708156;6756.41547861507;0.164081466395112;653.3401;108.0;15.2;341.349194396804;773.001295849721;112.3;0.407257661093357;39.2230700624319;17.3;53.0;43.22;62.67
98.0127884903587;119.622339894095;0.00669397542212009;4271.4948269711;0.239029611130931;769.0011;104.8;16.0;304.131892276925;810.902385894815;118.8;0.295979382869156;39.514437006694;19.1;53.5;58.47;62.68
101.833484527769;121.512952323355;0.10835601249874;4134.19067215364;3.68655692729767;1039.595;106.4;19.0;414.979725669778;862.672638214298;109.7;0.196730634431498;39.7439774216309;18.4;48.6;77.57;61.95
104.128533658735;71.2019524100061;10.8302826926988;2224.56617464846;338.371066025327;1223.924;106.4;16.8;364.966069886426;901.412996311589;111.8;0.286582220439044;39.8922106975798;15.4;37.2;99.79;61.34
87.9312109734876;68.4297266864572;14.5955378159861;2187.84671425345;466.746523448111;1750.277;106.7;18.3;559.378503112992;1013.28577298257;108.4;0.17586373761281;38.9804483570478;16.9;36.7;126.23;60.9
86.3435216630647;70.2974168982196;13.9376027960526;2358.36777251839;468.113975576662;2268.574;103.7;13.0;374.937382636601;1090.77174566344;101.5;0.0977807676963634;39.5698260780076;15.3;38.3;161.3;61.13
89.6294762989029;63.081695966908;17.4145510835913;2149.20983380476;593.669523367248;2719.959;104.8;12.8;424.575493502497;1206.11640970169;107.9;0.200899978508374;40.0124197888636;12.0;32.6;212.63;60.9
87.1297836938436;54.5029118136439;18.6667702184944;1945.2682213471;669.077992598999;3524.758;105.8;17.6;736.771502388024;1385.9505188572;108.4;0.362209211156927;40.6405990016639;13.5;29.7;260.56;62.43
94.4791666666667;51.5625;20.8671364908281;1923.84676074731;782.547017648865;4327.839;107.7;18.8;835.37539626709;1600.50933357171;110.1;0.144768711855761;41.4791666666667;12.9;24.4;345.59;64.2
102.572112881391;47.8423409351244;19.4973599751527;1879.1297868682;770.995897847393;5287.167;105.4;18.9;101.422720467827;1826.96661458903;108.4;0.344222484341195;44.6318858689993;12.0;21.3;462.56;64.4
100.135317997294;46.6687454526557;14.2342491220822;1431.15324176928;439.277984783239;3989.778;92.6;18.7619321998262;775.64772783791;1397.65175328803;98.3;0.22;40.8348079525346;14.1;18.9;415.56;65.3
98.0;42.1810699588477;17.2342880692355;1391.217610715;548.861596815949;4513.743;103.5;25.1402727267281;1133.15177921639;2196.29180869714;122.1;0.51;44.0136124574611;10.4;19.2;468.25;66.05
93.0;8.2389289392379;26.9635615028307;1368.61156597432;903.045764026545;5451.576;103.8;26.521359604385;1445.72284250573;2969.11517151158;113.7;0.22;43.520329387545;9.2;20.1;541.77;66.09
103.0;36.0082304526749;29.8563194730342;1111.08256692185;931.523917176181;5444.719;100.5;24.6557521906679;1356.66926820871;2598.06777595063;104.0;0.09;43.7718756434013;7.9;17.7;549.73;66.79
118.0;32.8542094455852;60.7171052631579;1010.6947048927;1836.83966650185;5654.548;100.8;23.6;1058.59199343204;3140.451349109;114.9;0.09;43.5686355217123;8.0;15.9;646.36;67.67
108.0;38.8548057259714;55.6627740217169;1053.09955819834;1509.85023201534;5308.29;98.3;19.5;1045.88;3135.00944206717;102.9;0.33;42.8996816921655;8.4;16.9;620.36;68.54
111.0;39.7148676171079;51.234904120767;626.726695999181;803.084710426686;3307.58;99.6;18.2;590.75;2093.12259522641;101.6;0.15;42.5038323965253;9.2;17.7;407.37;69.15
95.5;38.6178861788618;45.9671480878763;584.131005212601;694.730062302183;3114.8;93.5;16.8719079493982;522.95;1416.44030406118;87.2;0.2;41.5860735009671;9.6;18.2;386.94;69.61
114.8;35.55;49.1688509600732;600.186572283041;829.919129146432;3511.43;98.0;20.9435611664628;723.14;1967.22351322874;94.1;0.197447309969576;40.5344985265725;9.6;18.1;429.39;70.69
